DISTRICT,ds,yhat,yhat_lower,yhat_upper,is_forecast,year,actual,TREND
BAGALKOT,2001-01-01,3807.5,3236.4,4378.7,False,2001,3544.0,INCREASING
BAGALKOT,2002-01-01,3893.9,3309.8,4478.0,False,2002,3998.0,INCREASING
BAGALKOT,2003-01-01,3980.3,3383.2,4577.3,False,2003,4042.0,INCREASING
BAGALKOT,2004-01-01,4066.6,3456.7,4676.6,False,2004,4237.0,INCREASING
BAGALKOT,2005-01-01,4153.0,3530.1,4776.0,False,2005,4313.0,INCREASING
BAGALKOT,2006-01-01,4239.4,3603.5,4875.3,False,2006,4284.0,INCREASING
BAGALKOT,2007-01-01,4325.8,3676.9,4974.6,False,2007,4244.0,INCREASING
BAGALKOT,2008-01-01,4412.1,3750.3,5074.0,False,2008,4248.0,INCREASING
BAGALKOT,2009-01-01,4498.5,3823.7,5173.3,False,2009,4420.0,INCREASING
BAGALKOT,2010-01-01,4584.9,3897.2,5272.6,False,2010,4547.0,INCREASING
BAGALKOT,2011-01-01,4671.3,3970.6,5372.0,False,2011,4681.0,INCREASING
BAGALKOT,2012-01-01,4757.6,4044.0,5471.3,False,2012,4752.0,INCREASING
BAGALKOT,2013-01-01,4844.0,4117.4,5570.6,False,2013,4925.0,INCREASING
BAGALKOT,2014-01-01,4930.4,4190.8,5669.9,True,2014,,INCREASING
BAGALKOT,2015-01-01,5016.8,4264.2,5769.3,True,2015,,INCREASING
BAGALKOT,2016-01-01,5103.1,4337.7,5868.6,True,2016,,INCREASING
BANGALORE COMMR.,2001-01-01,62399.2,53039.3,71759.1,False,2001,60993.0,INCREASING
BANGALORE COMMR.,2002-01-01,63304.3,53808.6,72799.9,False,2002,65512.0,INCREASING
BANGALORE COMMR.,2003-01-01,64209.4,54577.9,73840.8,False,2003,65809.0,INCREASING
BANGALORE COMMR.,2004-01-01,65114.4,55347.3,74881.6,False,2004,65500.0,INCREASING
BANGALORE COMMR.,2005-01-01,66019.5,56116.6,75922.4,False,2005,67870.0,INCREASING
BANGALORE COMMR.,2006-01-01,66924.5,56885.9,76963.2,False,2006,60054.0,INCREASING
BANGALORE COMMR.,2007-01-01,67829.6,57655.2,78004.1,False,2007,61656.0,INCREASING
BANGALORE COMMR.,2008-01-01,68734.7,58424.5,79044.9,False,2008,69222.0,INCREASING
BANGALORE COMMR.,2009-01-01,69639.7,59193.8,80085.7,False,2009,76825.0,INCREASING
BANGALORE COMMR.,2010-01-01,70544.8,59963.1,81126.5,False,2010,75522.0,INCREASING
BANGALORE COMMR.,2011-01-01,71449.9,60732.4,82167.4,False,2011,71779.0,INCREASING
BANGALORE COMMR.,2012-01-01,72354.9,61501.7,83208.2,False,2012,69042.0,INCREASING
BANGALORE COMMR.,2013-01-01,73260.0,62271.0,84249.0,False,2013,72001.0,INCREASING
BANGALORE COMMR.,2014-01-01,74165.1,63040.3,85289.8,True,2014,,INCREASING
BANGALORE COMMR.,2015-01-01,75070.1,63809.6,86330.7,True,2015,,INCREASING
BANGALORE COMMR.,2016-01-01,75975.2,64578.9,87371.5,True,2016,,INCREASING
BANGALORE RURAL,2001-01-01,16204.4,13773.7,18635.0,False,2001,11001.0,DECREASING
BANGALORE RURAL,2002-01-01,15769.6,13404.1,18135.0,False,2002,15447.0,DECREASING
BANGALORE RURAL,2003-01-01,15334.8,13034.6,17635.0,False,2003,15743.0,DECREASING
BANGALORE RURAL,2004-01-01,14900.1,12665.1,17135.1,False,2004,17277.0,DECREASING
BANGALORE RURAL,2005-01-01,14465.3,12295.5,16635.1,False,2005,17336.0,DECREASING
BANGALORE RURAL,2006-01-01,14030.5,11926.0,16135.1,False,2006,18536.0,DECREASING
BANGALORE RURAL,2007-01-01,13595.8,11556.4,15635.1,False,2007,18060.0,DECREASING
BANGALORE RURAL,2008-01-01,13161.0,11186.9,15135.2,False,2008,9409.0,DECREASING
BANGALORE RURAL,2009-01-01,12726.2,10817.3,14635.2,False,2009,9534.0,DECREASING
BANGALORE RURAL,2010-01-01,12291.5,10447.8,14135.2,False,2010,9956.0,DECREASING
BANGALORE RURAL,2011-01-01,11856.7,10078.2,13635.2,False,2011,10522.0,DECREASING
BANGALORE RURAL,2012-01-01,11422.0,9708.7,13135.2,False,2012,11852.0,DECREASING
BANGALORE RURAL,2013-01-01,10987.2,9339.1,12635.3,False,2013,12072.0,DECREASING
BANGALORE RURAL,2014-01-01,10552.4,8969.6,12135.3,True,2014,,DECREASING
BANGALORE RURAL,2015-01-01,10117.7,8600.0,11635.3,True,2015,,DECREASING
BANGALORE RURAL,2016-01-01,9682.9,8230.5,11135.3,True,2016,,DECREASING
BELGAUM,2001-01-01,9787.3,8319.2,11255.4,False,2001,10527.0,INCREASING
BELGAUM,2002-01-01,10298.1,8753.4,11842.8,False,2002,9756.0,INCREASING
BELGAUM,2003-01-01,10808.9,9187.6,12430.3,False,2003,9325.0,INCREASING
BELGAUM,2004-01-01,11319.7,9621.8,13017.7,False,2004,9636.0,INCREASING
BELGAUM,2005-01-01,11830.5,10056.0,13605.1,False,2005,11777.0,INCREASING
BELGAUM,2006-01-01,12341.3,10490.1,14192.5,False,2006,12777.0,INCREASING
BELGAUM,2007-01-01,12852.2,10924.3,14780.0,False,2007,14079.0,INCREASING
