Area_Name,Year,complaints_received,complaints_cases_registered,disciplinary_actions,dismissals,convictions_police,false_complaints,dept_enquiries,mag_enquiries,rape_victims_total,rape_upto_10,rape_10_14,rape_14_18,rape_18_30,rape_30_50,rape_above_50,property_stolen_value,property_recovered_value,murder_total,murder_above_50,auto_theft_stolen,auto_theft_recovered,fraud_1_10cr,fraud_10_25cr,fraud_25_50cr,fraud_50_100cr,fraud_above_100cr,trial_total,trial_confession,trial_regular,housing_available,sanctioned_strength,women_cases_reported,women_chargesheeted,women_convicted,women_acquitted,women_pending_investigation,women_pending_trial,women_false_cases,women_arrests_persons,women_arrests_convicted,women_arrests_chargesheeted,fraud_total,rape_below_18,custodial_deaths_total,property_recovery_rate,violent_crime_index,property_crime_index,accountability_score,judicial_backlog_score,women_safety_score,housing_gap,total_crime_proxy,crime_yoy_pct,crime_3yr_avg,rape_minor_pct,complaint_registration_ratio
Andaman & Nicobar Islands,2001,10,10,73,2,0,0,4,0,6,0,0,6,0,0,0,6368954,2384358,26.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,423.0,73,79,0,7918,12,334,0,68,0,94,0.0,6,0,37.43719926380376,32.0,8.0,79,0,141,423.0,123.0,0.0,123.0,100.0,1.0
Andaman & Nicobar Islands,2002,13,13,92,3,2,0,0,0,4,0,0,2,2,0,0,3685442,1333518,34.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,4.0,449.0,59,46,8,7918,8,344,0,60,8,86,0.0,2,0,36.18339401352674,38.0,4.0,101,0,111,445.0,114.0,-7.32,118.5,50.0,1.0
Andaman & Nicobar Islands,2003,9,9,40,0,0,1,0,0,4,2,0,2,0,0,0,6367300,2003574,42.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0,4.0,445.0,49,36,6,7912,14,352,0,72,6,48,0.0,4,0,31.466618503918458,46.0,10.0,40,0,115,441.0,114.0,0.0,117.0,100.0,1.0
Andaman & Nicobar Islands,2004,1,15,47,3,0,0,0,1,20,0,2,14,2,2,0,10166636,6140866,30.0,4.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,4.0,445.0,59,34,16,7910,26,350,0,88,24,76,0.0,16,0,60.40214285236532,50.0,18.0,56,0,131,441.0,128.0,12.28,118.67,80.0,0.07
Andaman & Nicobar Islands,2005,167,19,28,0,0,138,55,3,8,0,0,4,4,0,0,523406562,8404966,30.0,2.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,445.0,49,28,2,7902,32,364,0,64,4,46,2.0,4,0,1.6058197604331907,38.0,14.0,28,0,111,445.0,268.0,109.38,170.0,50.0,8.79
Andaman & Nicobar Islands,2006,14,14,9,2,0,0,0,0,12,4,4,2,2,0,0,14161540,4433418,10.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,4.0,446.0,77,78,2,7904,16,426,0,98,2,126,0.0,10,0,31.306044399126083,22.0,12.0,15,0,173,442.0,125.0,-53.36,173.67,83.33,1.0
Andaman & Nicobar Islands,2007,20,20,13,4,0,0,0,0,6,0,0,6,0,0,0,20692912,5254832,30.0,6.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0,0.0,450.0,115,72,6,7906,44,476,0,157,12,100,0.0,6,0,25.394357256243104,36.0,16.0,25,0,266,450.0,187.0,49.6,193.33,100.0,1.0
Andaman & Nicobar Islands,2008,15,15,26,0,0,0,0,0,24,0,2,14,6,2,0,25229356,7756110,16.0,4.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,0.0,450.0,85,54,0,7902,36,278,0,85,0,85,0.0,16,0,30.74240182745846,40.0,22.0,26,0,170,450.0,162.0,-13.37,158.0,66.67,1.0
Andaman & Nicobar Islands,2009,15,15,33,1,0,0,0,0,36,4,6,14,10,2,0,20657180,12162370,36.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,11.0,584.0,189,128,3,7916,89,660,1,250,3,216,0.0,24,0,58.87720395523493,72.0,20.0,36,0,436,573.0,296.0,82.72,215.0,66.67,1.0
Andaman & Nicobar Islands,2010,24,24,16,4,0,0,0,0,48,4,2,24,16,2,0,16010952,3755182,20.0,0.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,11.0,663.0,172,135,0,7900,97,786,0,247,0,223,0.0,30,0,23.45383335107119,68.0,44.0,28,0,419,652.0,308.0,4.05,255.33,62.5,1.0
Andhra Pradesh,2001,3229,3078,1506,47,3,109,160,2969,1742,114,276,508,656,160,28,952076632,372206806,5566.0,564.0,6230.0,2960.0,4.0,0.0,0.0,0.0,0.0,18128.0,114.0,18014.0,4311.0,9062.0,30559,25037,7542,21006,8310,36162,5973,41025,7322,36656,4.0,898,0,39.09420665205445,7308.0,6234.0,1647,0,64042,4751.0,47330.0,0.0,47330.0,51.55,1.05
Andhra Pradesh,2002,311,159,1850,26,0,67,165,2,2004,70,134,70,1418,296,16,1100021962,433213162,5302.0,550.0,6900.0,3402.0,1.0,0.0,0.0,0.0,0.0,19664.0,4.0,19660.0,6492.0,9064.0,34493,27696,7568,19942,8376,39942,8513,48609,9849,42772,1.0,274,0,39.38222844318084,7306.0,6901.0,1928,0,75534,2572.0,49011.0,3.55,48170.5,13.67,1.96
Andhra Pradesh,2003,941,140,1764,16,1,11,892,7,1892,66,270,430,858,254,14,1321368874,536982384,5828.0,562.0,9464.0,3944.0,4.0,2.0,3.0,0.0,0.0,17109.0,0.0,17109.0,0.0,7865.0,36056,27261,6244,21581,8915,42584,7788,56005,8546,54982,9.0,766,0,40.63834063038479,7720.0,9473.0,1812,0,85817,7865.0,54190.0,10.57,50177.0,40.49,6.72
Andhra Pradesh,2004,646,649,1848,15,1,30,499,4,2032,110,290,326,1032,260,14,1552092256,565291852,5280.0,570.0,9482.0,4338.0,3.0,0.0,0.0,0.0,0.0,18951.0,0.0,18951.0,6442.0,9094.0,36623,27047,5531,22571,11692,44232,6226,55001,9825,51393,3.0,726,0,36.42127907118428,7312.0,9485.0,1893,0,86093,2652.0,54066.0,-0.23,52422.33,35.73,1.0
Andhra Pradesh,2005,7453,6271,2334,33,2,663,633,0,1870,64,212,354,980,248,12,1671609136,768048798,5856.0,626.0,10930.0,5340.0,1.0,0.0,0.0,0.0,0.0,17950.0,0.0,17950.0,3719.0,9173.0,38751,32893,7765,23343,10801,47755,8121,57441,11626,56121,1.0,630,0,45.94667386407488,7726.0,10931.0,2433,0,88427,5454.0,64861.0,19.97,57705.67,33.69,1.19
Andhra Pradesh,2006,5896,5461,2857,34,3,202,315,0,2098,92,256,476,1072,182,20,1992049442,872205516,5880.0,784.0,10940.0,4402.0,0.0,0.0,0.0,0.0,0.0,19106.0,0.0,19106.0,3719.0,9381.0,41354,29975,5617,21854,15495,51361,6608,57398,9709,51551,0.0,824,0,43.78433073048194,7978.0,10940.0,2959,0,93135,5662.0,66168.0,2.02,61698.33,39.28,1.08
Andhra Pradesh,2007,327,200,2018,45,1,27,209,10,2140,104,220,402,1144,256,14,1892290994,926585812,5700.0,546.0,12618.0,5694.0,4.0,0.0,0.0,0.0,0.0,19469.0,6.0,19463.0,6902.0,9718.0,48081,39732,6747,26282,14797,56849,7927,66316,10905,64372,4.0,726,0,48.96634898850023,7840.0,12622.0,2153,0,107650,2816.0,68870.0,4.08,66633.0,33.93,1.64
Andhra Pradesh,2008,722,129,2839,59,2,20,639,1,2514,98,252,474,1320,348,22,2416237964,1120641762,5524.0,606.0,15696.0,7622.0,2.0,0.0,0.0,0.0,0.0,17276.0,0.0,17276.0,7383.0,10213.0,23050,17900,1990,15289,7311,30516,3966,32282,3341,31882,2.0,824,0,46.379610729433935,8038.0,15698.0,3016,0,53342,2830.0,47508.0,-31.02,60848.67,32.78,5.6
Andhra Pradesh,2009,789,128,2946,62,2,21,706,3,2376,82,334,416,1284,232,28,2798976784,1275636266,4950.0,550.0,16514.0,8554.0,2.0,0.0,0.0,0.0,0.0,17820.0,4.0,17816.0,12802.0,15635.0,50083,39654,4326,29259,16723,67237,6722,69698,7236,65067,2.0,832,0,45.5750927729024,7326.0,16516.0,3132,0,115455,2833.0,74714.0,57.27,63697.33,35.02,6.16
Andhra Pradesh,2010,2321,112,950,1,0,5,320,0,2724,60,266,566,1498,304,30,3066109132,1450159336,5076.0,936.0,14844.0,10906.0,18.0,3.0,3.0,15.0,0.0,19917.0,22.0,19895.0,14534.0,17367.0,53076,45368,5478,30185,14609,75057,6546,73389,7902,75252,39.0,892,0,47.29640314707493,7800.0,14883.0,953,0,120987,2833.0,78080.0,4.51,66767.33,32.75,20.72
Arunachal Pradesh,2001,54,24,107,4,0,5,44,0,66,0,0,2,56,8,0,116966112,19305700,166.0,12.0,72.0,54.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,149.0,231.0,685.0,361,276,72,7914,98,1367,0,436,80,338,0.0,2,0,16.505378925478862,232.0,72.0,119,0,725,454.0,719.0,0.0,719.0,3.03,2.25
Arunachal Pradesh,2002,54,40,47,3,0,0,42,8,76,0,0,6,60,10,0,78967020,29572176,122.0,0.0,102.0,42.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,280.0,719.0,319,256,22,7910,80,1565,0,414,28,284,0.0,6,0,37.448767852706105,198.0,102.0,56,0,711,439.0,673.0,-6.4,696.0,7.89,1.35
Arunachal Pradesh,2003,15,6,1,0,0,0,9,0,62,6,10,8,38,0,0,88178448,34302200,154.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,61.0,148.0,719.0,279,200,8,7894,98,1751,0,320,4,174,0.0,24,0,38.900888797679904,216.0,100.0,1,0,591,571.0,610.0,-9.36,667.33,38.71,2.5
Arunachal Pradesh,2004,45,25,152,0,0,0,1,3,84,4,18,0,62,0,0,55977494,12274566,134.0,6.0,150.0,62.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,86.0,218.0,719.0,297,200,22,7898,142,1913,0,324,34,236,0.0,22,0,21.92768043528351,218.0,150.0,152,0,599,501.0,710.0,16.39,664.33,26.19,1.8
Arunachal Pradesh,2005,0,0,35,0,0,0,0,0,70,6,10,4,50,0,0,206906586,21300302,162.0,4.0,238.0,66.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,195.0,218.0,719.0,301,244,76,7948,110,1995,0,258,90,210,0.0,20,0,10.294646686597012,232.0,238.0,35,0,483,501.0,771.0,8.59,697.0,28.57,0.0
Arunachal Pradesh,2006,28,8,6,0,0,0,24,0,74,0,0,0,68,6,0,93986492,22231368,120.0,0.0,148.0,44.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,139.0,366.0,745.0,337,216,32,7936,172,2113,0,282,44,228,0.0,0,0,23.65379058939661,194.0,148.0,6,0,587,379.0,707.0,-8.3,729.33,0.0,3.5
Arunachal Pradesh,2007,40,16,6,0,0,0,38,0,96,2,0,0,84,10,0,197423898,39244340,136.0,2.0,232.0,126.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,109.0,16.0,745.0,371,256,32,7924,176,2295,0,406,40,310,0.0,2,0,19.878211502034063,232.0,232.0,6,0,745,729.0,875.0,23.76,784.33,2.08,2.5
Arunachal Pradesh,2008,137,0,137,0,0,0,137,0,84,8,14,0,62,0,0,176143036,48392772,144.0,4.0,120.0,74.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,86.0,16.0,849.0,176,122,18,7903,83,1224,0,180,25,139,0.0,22,0,27.47356529042681,228.0,120.0,137,0,338,833.0,661.0,-24.46,747.67,26.19,0.0
Arunachal Pradesh,2009,97,0,97,0,0,0,97,0,118,8,24,0,84,2,0,492181188,337764670,118.0,0.0,218.0,68.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,88.0,80.0,849.0,329,294,50,7930,134,2645,0,364,50,316,0.0,32,0,68.62608288068093,236.0,218.0,97,0,643,769.0,880.0,33.13,805.33,27.12,0.0
Arunachal Pradesh,2010,177,0,176,0,0,0,177,0,94,4,20,0,68,2,0,389155128,82366144,150.0,0.0,278.0,92.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,114.0,911.0,381,234,22,7910,214,2821,0,394,24,276,0.0,24,0,21.16537546949657,244.0,278.0,176,0,753,797.0,1080.0,22.73,873.67,25.53,0.0
Assam,2001,52,17,144,5,0,1,52,3,1634,16,146,490,740,238,4,243204430,49978686,2712.0,156.0,876.0,298.0,0.0,0.0,0.0,0.0,0.0,8420.0,364.0,8056.0,0.0,6545.0,8310,4168,594,10457,9692,13766,619,10790,806,6145,0.0,652,0,20.55007221702335,4346.0,876.0,159,0,18506,6545.0,13584.0,0.0,13584.0,39.9,3.06
Assam,2002,115,17,124,2,0,7,106,2,1940,0,0,6,1242,692,0,279955496,59425952,2506.0,50.0,1360.0,340.0,0.0,0.0,0.0,0.0,0.0,7155.0,212.0,6943.0,0.0,6539.0,10113,5984,630,10626,11024,16066,817,13364,773,8324,0.0,6,0,21.2269281543235,4446.0,1360.0,130,0,22847,6539.0,16034.0,18.04,14809.0,0.31,6.76
Assam,2003,8,15,99,0,0,2,14,2,2190,0,10,0,1654,520,6,365167728,103882588,2382.0,118.0,1512.0,264.0,0.0,0.0,0.0,0.0,0.0,8600.0,224.0,8376.0,1.0,6539.0,10532,6568,673,11508,10917,17673,1534,14885,1032,9852,0.0,10,0,28.44791038051424,4572.0,1512.0,99,0,24744,6538.0,16624.0,3.68,15414.0,0.46,0.53
Assam,2004,7,14,21,2,0,0,13,0,2342,14,0,0,1714,586,28,410248698,69643412,2428.0,144.0,1788.0,332.0,0.0,0.0,0.0,0.0,0.0,10197.0,394.0,9803.0,0.0,6539.0,11367,7022,837,12192,11342,18957,1234,16106,1350,11078,0.0,14,0,16.97590079859315,4770.0,1788.0,27,0,26636,6539.0,17932.0,7.87,16863.33,0.6,0.5
Assam,2005,20,28,22,4,0,0,37,0,2476,38,68,74,1694,572,30,452417672,106319880,2388.0,152.0,1914.0,534.0,0.0,0.0,0.0,0.0,0.0,9395.0,312.0,9083.0,0.0,6539.0,11975,7697,1039,12203,11856,20502,1020,17329,1506,11735,0.0,180,0,23.50038174459286,4864.0,1914.0,34,0,28265,6539.0,18773.0,4.69,17776.33,7.27,0.71
Assam,2006,19,11,1,0,0,0,19,0,2488,16,42,64,1784,578,4,1034754898,363879434,2414.0,166.0,2810.0,906.0,0.0,0.0,0.0,0.0,0.0,10159.0,403.0,9756.0,0.0,6539.0,13572,7908,1359,12631,13458,21673,1202,16703,1873,10707,0.0,122,0,35.16576096458352,4902.0,2810.0,1,0,28916,6539.0,21303.0,13.48,19336.0,4.9,1.73
Assam,2007,31,18,0,2,0,0,22,2,2874,0,0,80,1796,970,28,442711758,115670310,2748.0,194.0,3602.0,1194.0,0.0,0.0,0.0,0.0,0.0,10838.0,547.0,10291.0,0.0,6546.0,13685,8261,1625,13442,14664,22228,1630,17467,1666,11424,0.0,80,0,26.127679671882586,5622.0,3602.0,6,0,29527,6546.0,22940.0,7.68,21005.33,2.78,1.72
Assam,2008,7,12,53,1,0,0,0,2,2876,4,10,40,1698,1082,42,686974026,153790650,2852.0,110.0,3756.0,596.0,0.0,0.0,0.0,0.0,0.0,7993.0,395.0,7598.0,0.0,6546.0,8126,4740,422,10072,8359,12931,675,8455,971,5703,0.0,54,0,22.38667608664436,5728.0,3756.0,56,0,16159,6546.0,17617.0,-23.2,20620.0,1.88,0.58
Assam,2009,54,9,46,2,0,2,52,0,3262,2,12,6,2460,754,28,1050928190,289626038,2646.0,80.0,3418.0,654.0,0.0,0.0,0.0,0.0,0.0,6605.0,355.0,6250.0,0.0,6546.0,19415,10605,1242,12425,19993,30157,1478,23526,1781,12806,0.0,20,0,27.55907023485592,5908.0,3418.0,52,0,41699,6546.0,28795.0,63.45,23117.33,0.61,6.0
Assam,2010,19,9,0,0,0,1,7,1,3442,2,18,58,2232,1112,20,848468678,208790724,2446.0,92.0,1200.0,332.0,0.0,0.0,0.0,0.0,0.0,6958.0,467.0,6491.0,0.0,6546.0,23109,12565,1039,13238,24002,35939,1759,25838,1654,14924,0.0,78,0,24.60794716572908,5888.0,1200.0,0,0,47908,6546.0,30216.0,4.93,25542.67,2.27,2.11
