Area_Name,Year,complaints_received,complaints_cases_registered,disciplinary_actions,dismissals,convictions_police,false_complaints,dept_enquiries,mag_enquiries,rape_victims_total,rape_upto_10,rape_10_14,rape_14_18,rape_18_30,rape_30_50,rape_above_50,property_stolen_value,property_recovered_value,murder_total,murder_above_50,auto_theft_stolen,auto_theft_recovered,fraud_1_10cr,fraud_10_25cr,fraud_25_50cr,fraud_50_100cr,fraud_above_100cr,trial_total,trial_confession,trial_regular,housing_available,sanctioned_strength,women_cases_reported,women_chargesheeted,women_convicted,women_acquitted,women_pending_investigation,women_pending_trial,women_false_cases,women_arrests_persons,women_arrests_convicted,women_arrests_chargesheeted,fraud_total,rape_below_18,custodial_deaths_total,property_recovery_rate
Andaman & Nicobar Islands,2001,10,10,73,2,0,0,4,0,6,0,0,6,0,0,0,6368954,2384358,26.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,423.0,73,79,0,7918,12,334,0,68,0,94,0.0,6,0,37.437199263803755
Andaman & Nicobar Islands,2002,13,13,92,3,2,0,0,0,4,0,0,2,2,0,0,3685442,1333518,34.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,4.0,449.0,59,46,8,7918,8,344,0,60,8,86,0.0,2,0,36.18339401352674
Andaman & Nicobar Islands,2003,9,9,40,0,0,1,0,0,4,2,0,2,0,0,0,6367300,2003574,42.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0,4.0,445.0,49,36,6,7912,14,352,0,72,6,48,0.0,4,0,31.466618503918458
Andaman & Nicobar Islands,2004,1,15,47,3,0,0,0,1,20,0,2,14,2,2,0,10166636,6140866,30.0,4.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,4.0,445.0,59,34,16,7910,26,350,0,88,24,76,0.0,16,0,60.40214285236532
Andaman & Nicobar Islands,2005,167,19,28,0,0,138,55,3,8,0,0,4,4,0,0,523406562,8404966,30.0,2.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,445.0,49,28,2,7902,32,364,0,64,4,46,2.0,4,0,1.6058197604331907
Andaman & Nicobar Islands,2006,14,14,9,2,0,0,0,0,12,4,4,2,2,0,0,14161540,4433418,10.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,4.0,446.0,77,78,2,7904,16,426,0,98,2,126,0.0,10,0,31.306044399126083
Andaman & Nicobar Islands,2007,20,20,13,4,0,0,0,0,6,0,0,6,0,0,0,20692912,5254832,30.0,6.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0,0.0,450.0,115,72,6,7906,44,476,0,157,12,100,0.0,6,0,25.394357256243104
Andaman & Nicobar Islands,2008,15,15,26,0,0,0,0,0,24,0,2,14,6,2,0,25229356,7756110,16.0,4.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,0.0,450.0,85,54,0,7902,36,278,0,85,0,85,0.0,16,0,30.74240182745846
Andaman & Nicobar Islands,2009,15,15,33,1,0,0,0,0,36,4,6,14,10,2,0,20657180,12162370,36.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,11.0,584.0,189,128,3,7916,89,660,1,250,3,216,0.0,24,0,58.87720395523493
Andaman & Nicobar Islands,2010,24,24,16,4,0,0,0,0,48,4,2,24,16,2,0,16010952,3755182,20.0,0.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,11.0,663.0,172,135,0,7900,97,786,0,247,0,223,0.0,30,0,23.45383335107119
Andhra Pradesh,2001,3229,3078,1506,47,3,109,160,2969,1742,114,276,508,656,160,28,952076632,372206806,5566.0,564.0,6230.0,2960.0,4.0,0.0,0.0,0.0,0.0,18128.0,114.0,18014.0,4311.0,9062.0,30559,25037,7542,21006,8310,36162,5973,41025,7322,36656,4.0,898,0,39.09420665205445
Andhra Pradesh,2002,311,159,1850,26,0,67,165,2,2004,70,134,70,1418,296,16,1100021962,433213162,5302.0,550.0,6900.0,3402.0,1.0,0.0,0.0,0.0,0.0,19664.0,4.0,19660.0,6492.0,9064.0,34493,27696,7568,19942,8376,39942,8513,48609,9849,42772,1.0,274,0,39.38222844318084
Andhra Pradesh,2003,941,140,1764,16,1,11,892,7,1892,66,270,430,858,254,14,1321368874,536982384,5828.0,562.0,9464.0,3944.0,4.0,2.0,3.0,0.0,0.0,17109.0,0.0,17109.0,0.0,7865.0,36056,27261,6244,21581,8915,42584,7788,56005,8546,54982,9.0,766,0,40.63834063038479
Andhra Pradesh,2004,646,649,1848,15,1,30,499,4,2032,110,290,326,1032,260,14,1552092256,565291852,5280.0,570.0,9482.0,4338.0,3.0,0.0,0.0,0.0,0.0,18951.0,0.0,18951.0,6442.0,9094.0,36623,27047,5531,22571,11692,44232,6226,55001,9825,51393,3.0,726,0,36.42127907118428
